access,IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter,nnodes,seg,bw(GiB/s)
write,11731.1412,0.1022,131072.0,8192.0,0.0064,2.0949,0.592,2.0982,48,4,1,32,91.50533876953125
write,12912.7555,0.0748,131072.0,8192.0,0.0066,1.2688,0.1994,1.2725,32,0,1,32,100.5918380859375
write,13540.2153,0.0703,131072.0,8192.0,0.0061,1.21,0.1282,1.2131,32,1,1,32,105.5116693359375
write,12892.7979,0.0706,131072.0,8192.0,0.0059,1.2708,0.2188,1.2739,32,2,1,32,100.48128671875
write,12881.0794,0.0724,131072.0,8192.0,0.0063,1.2719,0.1799,1.2752,32,3,1,32,100.3767205078125
write,12741.2507,0.0683,131072.0,8192.0,0.0061,1.2859,0.1929,1.2891,32,4,1,32,99.2969330078125
write,5126.2549,0.0487,131072.0,8192.0,0.0067,0.799,0.0466,0.8026,8,0,1,32,39.87076923828125
write,5378.695,0.0467,131072.0,8192.0,0.0061,0.7615,0.0364,0.7646,8,1,1,32,41.84942802734375
write,5540.7798,0.0452,131072.0,8192.0,0.006,0.7392,0.0398,0.7424,8,2,1,32,43.10570869140625
write,5544.2988,0.045,131072.0,8192.0,0.0057,0.7388,0.0412,0.7417,8,3,1,32,43.1417330078125
write,5561.3778,0.045,131072.0,8192.0,0.0059,0.7365,0.0389,0.7396,8,4,1,32,43.2677916015625
write,11498.1733,0.1619,131072.0,8192.0,0.0216,3.5623,1.6681,3.5693,80,0,1,32,89.6536865234375
write,10948.5082,0.1536,131072.0,8192.0,0.0199,3.7411,1.731,3.7445,80,1,1,32,85.4586908203125
write,10621.3186,0.1528,131072.0,8192.0,0.016,3.8564,2.561,3.8597,80,2,1,32,82.9076556640625
